i,subset,qa,qs,qn,x,n,n.obs,prior.mean,obs.min,obs.max,posterior.mean,posterior.hdi.low,posterior.hdi.high,obs.range,hdi.range
795,S813,0.2924,0.4161,0.2914,0.3587,5134,5,0.44581223217763927,0.4394234514998052,0.4516945851188157,0.44578644787390026,0.4379899250396815,0.45399136570621845,0.0122711336190105,0.01600144066653697
796,S814,0.2503,0.3089,0.4408,0.1029,3788,5,0.2724920802534319,0.27085533262935585,0.2750791974656811,0.27245019586815233,0.26551757778836504,0.2802756024591325,0.004223864836325253,0.014758024670767478
797,S815,0.4933,0.2356,0.2711,0.4813,4252,5,0.6140639698965193,0.6074788334901223,0.617826904985889,0.6141493436071652,0.6039906176604294,0.6248331557695177,0.010348071495766664,0.020842538109088316
798,S816,0.1889,0.5513,0.2597,0.1925,5385,5,0.292330547818013,0.2885793871866295,0.295636025998143,0.2923731547587809,0.28637386288352584,0.2987646691376864,0.0070566388115134715,0.012390806254160558
799,S817,0.0236,0.2729,0.7034,0.2744,3868,5,0.09979317476732161,0.09720785935884178,0.1031540847983454,0.09978535173847064,0.09503739216877582,0.10433043198947145,0.0059462254395036135,0.009293039820695626
800,S818,0.4323,0.2918,0.2759,0.9319,7238,5,0.7025974025974026,0.7000552638850511,0.7053053329649074,0.7026603692226242,0.6940602170525139,0.711202542100198,0.005250069079856257,0.017142325047684093
801,S819,0.4451,0.0366,0.5183,0.5852,5622,5,0.4609747420846674,0.4599786552828175,0.4624688722874422,0.4609995818670727,0.45309733592570234,0.46853880555215877,0.0024902170046247063,0.015441469626456428
802,S82,0.1701,0.4422,0.3878,0.7719,5845,5,0.5154833190761334,0.5124037639007699,0.5182207014542344,0.5155466866245983,0.5069780807375528,0.524266109366595,0.005816937553464463,0.017288028629042218
803,S820,0.3524,0.3699,0.2777,0.0747,7468,5,0.36585431173004823,0.36475629351901445,0.36689876807712907,0.3658810288623967,0.3598086032602782,0.37205366468589096,0.0021424745581146154,0.012245061425612769
804,S821,0.0576,0.5016,0.4408,0.5373,4784,5,0.33896321070234114,0.3308946488294314,0.3442725752508361,0.3389404078250312,0.3314159734095077,0.3462043343035789,0.013377926421404673,0.014788360894071206
805,S822,0.2911,0.4478,0.2611,0.9033,2275,5,0.6918681318681319,0.6835164835164835,0.6971428571428572,0.6922095529712075,0.6757504174717726,0.7072379562729725,0.013626373626373645,0.03148753880119992
806,S823,0.5694,0.1453,0.2853,0.017,3637,5,0.5617816882045642,0.5611767940610393,0.5628265053615618,0.5619446996271652,0.5509282644892918,0.5727386710923187,0.001649711300522494,0.02181040660302691
807,S824,0.3147,0.376,0.3094,0.3509,7216,5,0.4467017738359202,0.44429046563192903,0.45052660753880264,0.4467674654125596,0.4395466880226898,0.45368312887701134,0.006236141906873605,0.01413644085432153
808,S825,0.2256,0.4962,0.2783,0.803,6824,5,0.6227725674091442,0.6166471277842908,0.6263188745603752,0.6227560513815723,0.6145081827800191,0.6311612012386087,0.0096717467760844,0.016653018458589686
